date,Alexandria Ocasio-Cortez,Andrew Cuomo,Arnold Schwarzenegger,Bernie Sanders,Bill Gates,Chelsea Clinton,Donald Trump,Donald Trump Jr.,Dwayne Johnson,Elizabeth Warren,Eric Trump,Gavin Newsom,George Clooney,Hillary Clinton,Ivanka Trump,Joe Biden,Joe Kennedy III,John Kasich,Kamala Harris,Kanye West,Marco Rubio,Mark Zuckerberg,Meghan Markle,Michael Bloomberg,Michelle Obama,Mike Pence,Nikki Haley,Oprah Winfrey,Pete Buttigieg,Robert F. Kennedy Jr.,Ron DeSantis,Ted Cruz,muž,žena
2023-06-01,125.0,300.0,,175.0,140.0,175.0,3.0,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.6,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-02,125.0,300.0,,175.0,140.0,175.0,3.0,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.6,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-03,125.0,300.0,,175.0,140.0,175.0,3.0,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.6,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-04,125.0,300.0,,175.0,140.0,175.0,3.0,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.6,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-05,125.0,300.0,,175.0,140.0,175.0,3.0,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.6,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-06,125.0,300.0,,175.0,140.0,175.0,3.0,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.6,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-07,125.0,300.0,,175.0,140.0,175.0,3.0,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.6,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-08,125.0,300.0,,175.0,140.0,175.0,3.0,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.6,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-09,125.0,300.0,,175.0,140.0,175.0,3.0,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.6,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-10,125.0,300.0,,175.0,140.0,175.0,3.0,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.6,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-11,125.0,300.0,,175.0,140.0,175.0,3.0,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.6,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-12,125.0,300.0,,175.0,140.0,175.0,3.0,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.6,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-13,125.0,300.0,100.0,175.0,140.0,175.0,3.05,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.55,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-14,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,6.0,125.0,1.1,6.0
2023-06-15,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,5.75,125.0,1.1,6.0
2023-06-16,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-17,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-18,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-19,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-20,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-21,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-22,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,22.0,200.0,125.0,250.0,250.0,125.0,40.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-23,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,23.5,200.0,125.0,250.0,250.0,125.0,35.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-24,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-25,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-26,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-27,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-28,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,40.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-29,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,35.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-06-30,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,25.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-07-01,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,20.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-07-02,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,20.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-07-03,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,20.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-07-04,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,20.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-07-05,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,20.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-07-06,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,20.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-07-07,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,20.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-07-08,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,20.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
2023-07-09,125.0,300.0,100.0,175.0,140.0,175.0,3.1,325.0,250.0,100.0,300.0,20.0,200.0,95.0,400.0,2.5,100.0,125.0,25.0,200.0,125.0,250.0,250.0,125.0,30.0,45.0,33.0,175.0,40.0,15.0,5.5,125.0,1.1,6.0
